fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg
Brendan Allen,188,84,190,Orthodox,"Dec 28, 1995",3.55,59,4.57,39,1.17,37,50,2
Ricardo Almeida,183,77,188,Orthodox,"Nov 29, 1976",2.02,49,1.2,61,3.74,38,31,1.2
Thomas Almeida,170,66,178,Southpaw,"Jul 31, 1991",5.39,44,4.69,64,0,0,75,0
Sarah Alpar,163,61,160,Southpaw,"Jun 01, 1991",2.11,54,4.76,32,2.69,28,50,0.7
Ali AlQaisi,168,61,173,Orthodox,"Sep 23, 1990",2.43,42,1.97,56,3.5,29,60,1
Jaime Alvarez,173,57,175,Orthodox,"Mar 08, 1988",2.73,40,4.53,56,1,33,50,0
Joel Alvarez,190,70,196,Orthodox,"Mar 02, 1994",2.84,37,3.31,53,0,0,0,1.6
Eddie Alvarez,175,70,175,Orthodox,"Jan 11, 1984",4.32,41,4.39,55,2.92,36,92,0.5
Thiago Alves,175,77,178,Orthodox,"Oct 03, 1983",3.73,41,3.42,62,0.71,60,63,0.3
Rafael Alves,173,66,173,Orthodox,"Oct 10, 1990",2.02,45,3.66,59,0,0,100,1.9
Warlley Alves,180,77,183,Orthodox,"Jan 04, 1991",3.09,47,3.62,50,1.48,54,75,1
Adlan Amagov,188,77,193,Orthodox,"Oct 30, 1986",3.29,47,0.82,78,5.84,56,100,0
Sam Alvey,188,93,190,Southpaw,"May 06, 1986",3.17,44,3.26,55,0.08,16,82,0.1
Alen Amedovski,178,84,188,Orthodox,"Apr 06, 1988",0.52,28,3.14,37,0,0,0,0
Makwan Amirkhani,178,66,183,Southpaw,"Nov 08, 1988",1.42,44,2.63,51,3.37,37,57,1.4
Eryk Anders,185,84,190,Southpaw,"Apr 21, 1987",3.23,46,4.15,51,1.62,35,80,0.1
Corey Anderson,190,93,201,Orthodox,"Sep 22, 1989",4.43,46,2.22,59,4.89,50,83,0
Megan Anderson,183,66,183,Orthodox,"Feb 11, 1990",1.76,46,3.35,37,0.52,25,53,0.5
Viscardi Andrade,180,77,190,Orthodox,"Mar 08, 1984",3.26,42,2.77,63,1.93,50,66,0.3
Jessica Andrade,155,52,157,Orthodox,"Sep 25, 1991",6.38,49,5.26,53,3.11,57,76,0.4
Dylan Andrews,185,84,188,Switch,"Nov 15, 1979",2.21,50,2.72,46,2.83,50,57,0.4
Collin Anglin,175,66,180,Orthodox,"Feb 20, 1993",5.87,55,3.47,58,3,75,100,0
Magomed Ankalaev,190,93,190,Orthodox,"Jun 02, 1992",3.41,53,1.78,65,1.18,33,85,0
Nina Ansaroff,165,52,163,Orthodox,"Dec 03, 1985",4.81,47,3.55,54,0.29,40,77,0.6
Adam Antolin,165,57,160,Orthodox,"Feb 28, 1982",5.73,52,5,69,0,0,100,0
Gadzhimurad Antigulov,180,93,178,Orthodox,"Feb 09, 1987",2.08,55,4.21,40,5.08,36,0,1.4
Shinsho Anzai,170,77,178,Orthodox,"Dec 01, 1985",3.23,58,3.75,45,1.83,16,75,0
Igor Araujo,185,77,196,Orthodox,"Dec 06, 1980",1.52,42,2.86,49,0.86,15,22,0.6
Felipe Arantes,173,61,185,Orthodox,"Feb 09, 1988",2.37,45,2.66,64,0.93,47,41,0.7
Julio Arce,170,66,178,Southpaw,"Oct 27, 1989",4.25,36,2.87,67,0.58,30,93,0.6
Viviane Araujo,163,57,173,Orthodox,"Nov 21, 1986",4.97,48,4.84,60,2.33,64,94,0.2
Andrei Arlovski,190,120,196,Orthodox,"Feb 04, 1979",3.48,44,2.83,57,0.47,36,78,0.3
Akbarh Arreola,178,70,180,Southpaw,"Jan 14, 1983",2.32,45,4.01,56,1.07,100,33,0.4
Austin Arnett,183,66,183,Orthodox,"Oct 22, 1991",4.52,41,6.38,62,0.44,18,57,0.2
Matt Arroyo,178,77,183,Orthodox,"Sep 01, 1982",1.62,47,2.01,58,2.12,36,100,5.3
Antonio Arroyo,190,84,185,Orthodox,"Jul 01, 1989",3.08,70,1.72,44,1.4,41,32,0.3
Teddy Ash,185,84,185,Switch,"Dec 27, 1989",7.27,61,6.8,28,0,0,100,0
Askar Askar,170,66,175,Orthodox,"Aug 19, 1994",0,0,0,0,0,0,0,0
Askar Askarov,168,57,170,Orthodox,"Oct 09, 1992",3.37,55,2.65,56,2.75,28,64,0
Cyril Asker,183,120,188,Orthodox,"Dec 24, 1985",3.35,39,5.82,35,4.41,62,100,0.9
Scott Askham,190,84,190,Southpaw,"May 20, 1988",3.03,46,3.52,52,0.44,18,65,0.7
Ben Askren,180,77,185,Orthodox,"Jul 18, 1984",3.64,49,5.66,36,4.33,55,0,0.9
Tom Aspinall,196,120,198,Orthodox,"Apr 11, 1993",7.43,66,3.06,65,3.54,100,0,1.8
Junior Assuncao,175,66,183,Orthodox,"Jun 24, 1981",3.31,62,2.06,44,2.43,24,66,0.7
Raphael Assuncao,165,61,168,Orthodox,"Jul 19, 1982",3.26,40,2.33,68,1.48,38,80,0.3
Rich Attonito,178,77,183,Orthodox,"Jun 16, 1977",2.28,47,2.13,59,0.74,37,75,0
Olivier Aubin-Mercier,175,70,178,Southpaw,"Feb 23, 1989",2.48,51,2.97,55,2.36,33,70,0.5
Marcus Aurelio,178,70,188,Orthodox,"Aug 18, 1973",1.42,33,2.27,59,1.69,27,27,1.3
Blas Avena,183,77,188,Orthodox,"Jun 30, 1983",2.34,47,3.36,43,2.37,80,50,1.8
Julia Avila,170,61,173,Orthodox,"May 11, 1988",3.1,41,2.9,54,0.49,50,60,0
Abu Azaitar,175,84,193,Orthodox,"Mar 10, 1986",3.2,37,1.27,57,1,100,25,0
Jessin Ayari,183,70,185,Orthodox,"May 31, 1992",3.53,37,3.59,58,0,0,50,0.3
Ottman Azaitar,173,70,180,Switch,"Feb 20, 1990",8.43,57,1.76,67,0,0,100,0
Hunter Azure,173,66,175,Orthodox,"Mar 02, 1992",4.17,52,1.99,62,2.52,45,76,1.4
Miguel Baeza,188,77,188,Orthodox,"Aug 23, 1992",4.64,55,3.89,50,0.8,40,100,1.2
Ali Bagautinov,163,57,165,Orthodox,"Jun 10, 1985",2.85,42,3.09,52,2.51,36,65,0.3
Seth Baczynski,190,77,190,Orthodox,"Oct 26, 1981",3.08,31,3.14,51,0.89,16,48,0.8
Ryan Bader,188,93,188,Orthodox,"Jun 07, 1983",2.82,43,1.39,71,3.37,44,80,0.4
Melsik Baghdasaryan,175,66,178,Southpaw,"Jan 28, 1992",6.8,64,3.8,53,0,0,75,0
Siyar Bahadurzada,180,77,185,Orthodox,"Apr 17, 1984",2.91,40,3.23,49,1.32,61,62,0.3
Ignacio Bahamondes,190,77,190,Orthodox,"Aug 27, 1997",8.78,54,2.66,67,0,0,100,0
Oluwale Bamgbose,180,84,198,Switch,"Aug 04, 1987",2.45,48,2.7,55,0.94,33,37,0
Shamar Bailey,175,70,190,Southpaw,"Sep 22, 1982",1.56,20,3.91,69,1.5,33,37,0
Humberto Bandenay,180,66,180,Southpaw,"Sep 04, 1994",2.22,41,4.79,41,2.9,46,62,0.5
Tae Hyun Bang,175,70,180,Switch,"Apr 15, 1983",2.72,38,2.07,66,0.49,33,57,0.5
Maycee Barber,165,57,165,Switch,"May 18, 1998",5.21,52,3,50,1.44,40,80,0.2
Antonio Banuelos,165,61,160,Orthodox,"Sep 23, 1979",2.69,33,3.15,58,1.62,62,86,0.4
Bryan Barberena,183,77,183,Southpaw,"May 03, 1989",5.48,48,4.7,45,0.23,28,60,0.5
Renan Barao,168,66,178,Orthodox,"Jan 31, 1987",3.78,36,3.9,57,1.49,41,91,0.5
Edson Barboza,180,66,190,Orthodox,"Jan 21, 1986",3.98,43,4.03,60,0.44,44,78,0.1
Raoni Barcelos,170,61,170,Orthodox,"May 01, 1987",5.59,52,4.17,67,2.23,56,85,0.7
Luke Barnatt,198,84,196,Orthodox,"Apr 13, 1988",4.43,36,3.87,59,0.63,42,63,0.4
Phil Baroni,175,77,183,Orthodox,"Apr 16, 1976",2.77,45,3.93,40,1.46,47,60,0.5
Josh Barnett,190,120,198,Orthodox,"Nov 10, 1977",3.2,50,2.11,57,1.26,55,55,1.4
Peter Barrett,178,66,185,Southpaw,"Aug 10, 1986",4.18,61,4.32,42,1.39,22,66,0
Marc-Andre Barriault,185,84,188,Orthodox,"Feb 18, 1990",4.25,46,4.12,57,0.55,28,69,0
Francimar Barroso,185,93,190,Orthodox,"Feb 28, 1980",2.77,52,3.07,59,2.22,24,83,0
Enrique Barzola,170,66,178,Orthodox,"Apr 28, 1989",3.91,41,2.97,68,4.2,45,66,0.3
Pat Barry,180,120,188,Orthodox,"Jul 07, 1979",2.72,52,3.54,59,0,0,76,0.2
Batgerel Danaa,170,61,178,Orthodox,"Jul 04, 1989",5.66,38,2.61,58,0,0,57,0
Alan Baudot,190,120,201,Orthodox,"Feb 01, 1988",1.89,25,10.11,36,0,0,0,0
Mario Bautista,175,61,175,Switch,"Jul 01, 1993",5.71,45,4.78,54,0.48,33,70,0
Chris Beal,170,57,175,Orthodox,"Aug 06, 1985",3.45,35,3.18,61,1.6,58,78,0.2
Ariel Beck,168,57,168,Southpaw,"Sep 16, 1990",4.44,34,4.31,64,0,0,0,0
Chase Beebe,170,61,170,Orthodox,"Mar 29, 1985",2.17,38,1.64,69,2.49,42,41,0.9
Johnny Bedford,178,61,180,Orthodox,"Jan 06, 1983",4.53,50,1.75,63,1.83,62,62,0
Mirsad Bektic,173,66,178,Orthodox,"Feb 16, 1991",2.43,41,1.8,57,3.98,52,92,0.4
Diana Belbita,170,57,173,Orthodox,"Jun 26, 1996",5.81,39,6.49,52,1.69,66,64,0
Alan Belcher,188,84,190,Orthodox,"Apr 24, 1984",2.7,41,3.1,59,0.44,26,55,0.9
Danilo Belluardo,183,70,188,Southpaw,"Jul 21, 1994",1.52,61,4.79,41,3.5,100,50,0
Vitor Belfort,183,84,188,Southpaw,"Apr 01, 1977",1.59,46,2.83,50,1.02,60,53,0.6
Joey Beltran,185,84,190,Orthodox,"Dec 08, 1981",4.92,36,5.27,54,0.48,18,75,0
Marco Beltran,173,57,175,Orthodox,"May 18, 1986",2.07,37,1.93,63,0.7,50,46,0.2
Joseph Benavidez,163,57,165,Southpaw,"Jul 31, 1984",3.52,34,2.67,61,1.41,30,62,0.6
Gabriel Benitez,173,70,180,Southpaw,"Jun 15, 1988",4.38,38,3.26,70,0.17,50,56,1.2
DeAnna Bennett,163,57,173,Orthodox,"Nov 18, 1984",3.13,58,3.27,58,0,0,0,1
Lance Benoist,180,77,183,Southpaw,"Aug 26, 1988",3.68,51,2.7,56,1.5,33,61,0
Ryan Benoit,165,57,173,Orthodox,"Aug 25, 1989",2.95,41,3.4,60,0.33,25,70,0.5
Kenneth Bergh,188,93,188,Orthodox,"Jun 26, 1989",4.56,75,1.27,28,0,0,0,0
Dennis Bermudez,168,70,168,Orthodox,"Dec 13, 1986",4.42,46,3.07,59,3.89,40,82,1.1
Talita Bernardo,163,61,173,Orthodox,"Mar 04, 1987",3.12,42,4.04,55,1.62,22,28,0.5
Manny Bermudez,178,66,180,Orthodox,"Jul 16, 1994",2.92,61,2.68,46,3.06,54,0,3.1
Khadzhi Bestaev,198,84,193,Orthodox,"Jul 16, 1988",6.15,29,10,43,0,0,0,0
Matt Bessette,178,66,178,Orthodox,"Dec 28, 1984",4.36,41,4.45,58,0.64,28,61,0.3
Arjan Bhullar,185,120,190,Orthodox,"May 13, 1986",2.33,56,3.25,59,1.73,75,100,0
Bibulatov Magomed,165,57,165,Orthodox,"Aug 22, 1988",3.6,51,1.83,52,2.85,40,75,0
KB Bhullar,193,84,198,Switch,"Oct 12, 1991",1.18,13,10,37,0,0,0,0
David Bielkheden,178,70,180,Orthodox,"Jun 06, 1979",1.11,57,1.64,54,2.65,63,14,0
Anthony Birchak,173,61,175,Orthodox,"May 16, 1986",4.23,36,3.06,60,0.6,16,73,0
Michael Bisping,185,84,190,Orthodox,"Feb 28, 1979",4.33,38,2.71,65,1.05,43,63,0.3
Jan Blachowicz,188,93,198,Orthodox,"Feb 24, 1983",3.59,49,2.79,53,1.18,53,65,0.2
Brad Blackburn,178,77,185,Orthodox,"May 25, 1977",4.55,35,3.59,65,0.93,50,76,0.7
Maximo Blanco,173,66,180,Orthodox,"Oct 16, 1983",4.11,44,3.19,66,1.85,36,63,0.3
Sherrard Blackledge,180,70,190,Orthodox,"Aug 16, 1993",3.7,49,3.13,55,4,33,42,0
Curtis Blaydes,193,120,203,Orthodox,"Feb 18, 1991",3.59,53,1.7,57,6.64,54,33,0
Kyle Bochniak,170,66,178,Orthodox,"Feb 05, 1987",2.63,31,5.11,58,1.14,15,62,0
Mark Bocek,173,70,190,Orthodox,"Oct 24, 1981",2.34,43,2.32,60,3.65,36,31,1.3
James Bochnovic,193,93,206,Orthodox,"Feb 13, 1989",0.65,26,3.64,21,0,0,0,0
Galore Bofando,180,77,183,Switch,"May 22, 1982",3.63,45,3.63,54,2.37,100,50,0
Tim Boetsch,183,84,188,Orthodox,"Jan 28, 1981",2.93,50,2.9,57,1.45,34,59,0.8
Roman Bogatov,173,70,185,Orthodox,"Dec 15, 1990",3.33,42,4.4,44,1,9,50,0
Rogerio Bontorin,165,57,170,Orthodox,"Apr 25, 1992",2.19,50,3.12,38,1.9,40,51,1.6
Stephan Bonnar,193,93,201,Orthodox,"Apr 04, 1977",2.76,38,3.01,52,1.32,40,60,1
Ray Borg,163,61,160,Orthodox,"Aug 04, 1993",1.52,52,1.93,48,3.89,50,46,1
Tanner Boser,188,120,190,Orthodox,"Aug 02, 1991",4.54,55,2.7,63,0,0,100,0
Calen Born,173,77,183,Switch,"May 24, 1988",0,0,0,0,0,0,0,0
Steve Bosse,180,93,183,Orthodox,"Jul 29, 1981",5.99,52,5.38,50,0.92,33,100,0
Poliana Botelho,173,52,170,Orthodox,"Dec 15, 1988",3,56,3.08,50,0.89,100,80,0
Kyron Bowen,190,84,185,Orthodox,"Dec 22, 1993",2.73,57,2.05,40,0,0,0,0
Brian Bowles,170,61,178,Orthodox,"Jun 22, 1980",2.36,26,2.98,64,1.39,70,54,1.4
Roger Bowling,175,70,173,Orthodox,"Dec 05, 1982",3.9,47,3.86,51,3.09,43,27,0.9
Kyle Bradley,175,70,180,Orthodox,"Aug 19, 1982",1.99,40,3.45,58,0.65,50,40,0
Sean Brady,178,77,183,Orthodox,"Nov 23, 1992",4.72,55,3.6,63,2.69,60,100,1.2
Ramiz Brahimaj,178,77,183,Orthodox,"Nov 17, 1992",3.73,36,6.14,55,0,0,100,0
David Branch,185,84,198,Orthodox,"Sep 26, 1981",1.66,39,1.91,56,2.55,32,43,0
Martin Bravo,173,66,180,Southpaw,"Sep 21, 1993",7.66,39,5.72,51,2.6,35,85,0
Diego Brandao,170,66,163,Orthodox,"May 27, 1987",2.94,47,3.38,62,3.21,68,80,0.6
Tom Breese,190,84,185,Southpaw,"Sep 26, 1991",3.34,50,2.81,60,0,0,70,1.1
Mike Breeden,178,70,178,Orthodox,"Apr 21, 1989",4,34,5.87,47,0,0,77,0
Charlie Brenneman,178,70,178,Orthodox,"Feb 09, 1981",1.52,56,1.55,46,4.23,42,72,0
Marcos Brigagao,190,93,193,Southpaw,"Apr 01, 1996",3.07,43,3.27,25,0,0,36,0
Jason Brilz,180,93,180,Orthodox,"Jul 07, 1975",2.66,40,1.78,65,2.37,25,25,1.3
Marcus Brimage,163,61,180,Southpaw,"Apr 06, 1985",3.97,35,3.64,56,0.56,100,80,0
Henry Briones,173,61,175,Orthodox,"Oct 22, 1980",3.47,42,4.68,53,0,0,52,0.6
Antwain Britt,185,93,196,Orthodox,"May 09, 1978",1.46,39,2.81,44,1.56,40,50,0
Jonathan Brookins,183,66,188,Southpaw,"Aug 13, 1985",2.69,39,3.63,56,1.94,17,80,0.3
Will Brooks,178,70,183,Orthodox,"Oct 08, 1986",4.26,59,2.54,56,2.08,51,82,0.3
Jarred Brooks,160,57,157,Switch,"May 02, 1993",2.12,46,1.66,62,4.54,57,69,0.6
Rob Broughton,188,120,188,Orthodox,"Mar 03, 1983",2.83,60,2.54,51,0,0,26,3.2
Mike Brown,168,66,178,Orthodox,"Sep 08, 1975",2.98,44,2.45,60,3.23,40,66,0.6
Matt Brown,183,77,190,Orthodox,"Jan 10, 1981",3.69,54,2.67,55,1.56,44,63,1.4
TJ Brown,175,66,183,Switch,"May 22, 1990",3.22,42,2.21,50,4.92,60,40,0.4
Damien Brown,178,70,173,Orthodox,"Dec 25, 1984",3.66,38,4.86,50,0.68,27,53,0.7
Randy Brown,190,77,198,Orthodox,"Jul 08, 1990",3.67,47,2.8,53,1,46,71,0.6
Travis Browne,198,120,201,Orthodox,"Jul 17, 1982",2.93,41,4.31,42,1.21,68,75,0.2
Cody Brundage,183,93,183,Orthodox,"May 16, 1994",7.97,82,6.29,6,6.29,33,0,0
Derek Brunson,185,84,196,Southpaw,"Jan 04, 1984",3.46,47,2.72,53,3.11,33,94,0.5
Justin Buchholz,183,70,185,Orthodox,"Aug 22, 1983",2.35,26,4.14,51,0,0,33,0.8
Julia Budd,170,66,170,Orthodox,"Jul 04, 1983",2.42,74,1.18,47,3.6,57,83,0
Joaquin Buckley,178,84,193,Southpaw,"Apr 27, 1994",4.58,36,5.46,51,0.6,16,100,0
Mike Budnik,175,66,173,Orthodox,"Aug 08, 1974",0.65,52,0.95,53,0,0,0,3.4
Mayra Bueno Silva,168,61,168,Orthodox,"Aug 22, 1991",4.06,57,4.89,47,0,0,73,1.6
Paul Buentello,188,120,196,Orthodox,"Jan 16, 1974",3.29,45,3.83,52,0.19,33,39,0.4
Modestas Bukauskas,190,93,198,Switch,"Feb 10, 1994",3.56,37,5.7,42,0,0,100,0
Wuliji Buren,175,61,175,Orthodox,"Mar 01, 1989",1.63,42,2.96,56,3.38,42,71,0.4
Shane Burgos,180,66,190,Orthodox,"Mar 19, 1991",7.31,50,5.81,60,0.3,100,89,0.1
Joshua Burkman,178,77,183,Orthodox,"Apr 10, 1980",2.69,43,3.13,51,2.53,36,72,0.3
Mads Burnell,173,66,175,Orthodox,"Mar 06, 1994",1.28,41,2.71,51,3.45,47,22,0.4
Kevin Burns,178,77,188,Orthodox,"Mar 03, 1980",2.74,38,4.3,52,0.28,50,47,0.8
Herbert Burns,175,66,185,Orthodox,"Feb 02, 1988",1.67,45,5.02,33,4.64,83,75,2.8
Gilbert Burns,178,77,180,Orthodox,"Jul 20, 1986",3.22,45,3.04,54,2.08,35,50,0.7
Cheyanne Buys,160,52,160,Switch,"Jun 25, 1995",4.1,53,1.67,65,0,0,60,0
JP Buys,165,57,170,Orthodox,"Apr 30, 1996",2.66,45,3.05,43,2.22,50,33,2.2
Dennis Buzukja,175,66,180,Switch,"Oct 01, 1997",3.8,46,6.8,35,2,25,100,1
Charles Byrd,178,84,185,Orthodox,"Oct 11, 1983",3.43,55,2.63,55,2.5,50,40,1.5
Yan Cabral,180,70,185,Orthodox,"May 13, 1983",2.02,47,1.98,62,2.89,35,37,1.2
Alex Caceres,178,66,185,Southpaw,"Jun 20, 1988",4.1,50,2.82,65,0.57,78,64,0.8
Vince Cachero,168,66,173,Orthodox,"Nov 07, 1989",3.29,45,6.51,43,0,0,18,0.5
Priscila Cachoeira,170,61,165,Orthodox,"Aug 19, 1988",3.84,37,7.93,42,0,0,69,0
Joanne Calderwood,168,57,165,Orthodox,"Dec 23, 1985",6.59,49,4.4,53,1.8,55,58,0.5
Cynthia Calvillo,163,57,163,Orthodox,"Jul 13, 1987",4.18,41,3.52,67,1.85,44,71,1.1
Frank Camacho,178,77,185,Orthodox,"May 18, 1989",6.67,46,7.31,52,1.17,45,72,0
Fabricio Camoes,178,70,180,Orthodox,"Dec 23, 1978",1.29,33,1.85,61,2.34,32,20,1.5
Chris Camozzi,188,84,190,Orthodox,"Nov 20, 1986",3.57,44,2.96,56,0.27,19,57,0.5
Brian Camozzi,188,77,198,Orthodox,"Jun 24, 1991",3.15,26,6.39,54,0,0,0,0.7
Shane Campbell,183,70,180,Orthodox,"Jan 21, 1987",3.99,59,3.19,55,1.36,28,82,0
Will Campuzano,175,57,178,Orthodox,"May 27, 1986",2.43,31,3.82,57,0.88,45,48,0.2
Chico Camus,168,57,168,Orthodox,"Jan 26, 1985",2.58,41,2.46,64,0.77,40,72,0.4
Aleksa Camur,185,93,188,Orthodox,"Sep 25, 1995",3.94,54,2.49,57,0.84,33,20,0
Carlos Candelario,173,57,170,Southpaw,"Jun 04, 1991",3.87,47,1.67,57,0,0,46,0
Guido Cannetti,168,61,173,Southpaw,"Dec 19, 1979",2.85,51,2.17,50,2.64,50,75,0.3
Luiz Cane,188,84,196,Southpaw,"Apr 24, 1981",4.79,41,5,60,0.56,28,100,0.3
Jared Cannonier,180,84,196,Switch,"Mar 16, 1984",3.7,52,3.09,64,0.16,33,54,0
Phil Caracappa,173,61,178,Orthodox,"Jun 05, 1992",2.93,50,4.07,29,1,8,100,1
Steve Cantwell,188,84,190,Orthodox,"Dec 08, 1986",3.63,34,5.76,55,0.65,30,80,0.7
Bryan Caraway,173,61,173,Orthodox,"Aug 04, 1984",2.53,34,3.61,54,2.57,25,80,0.8
Chris Cariaso,160,57,163,Southpaw,"May 27, 1981",3.35,43,2.23,61,1.11,39,57,0.8
Antonio Carlos Junior,188,84,201,Orthodox,"Mar 16, 1990",1.95,42,2.14,52,3.42,39,53,0.8
Spike Carlyle,173,66,180,Switch,"May 06, 1993",2.55,54,3.85,30,3.34,36,57,0.5
Francis Carmont,190,93,198,Orthodox,"Oct 11, 1981",2.22,42,1.64,59,1.79,36,73,0.6
Liz Carmouche,168,57,168,Orthodox,"Feb 19, 1984",2.78,54,2.51,61,2.57,51,65,0.3
Ariane Carnelossi,157,52,155,Orthodox,"Nov 17, 1992",6.03,38,7.71,50,0,0,0,0
Roan Carneiro,180,77,193,Orthodox,"Jun 02, 1978",1.46,46,1.82,62,3.05,42,83,1.4
Luana Carolina,168,57,175,Orthodox,"Jun 11, 1993",6.29,50,3.75,47,0,0,100,2.4
Antonio Carvalho,175,66,178,Orthodox,"May 30, 1979",3.03,29,3.62,64,0,0,100,0
Shane Carwin,188,120,203,Orthodox,"Jan 04, 1975",4.38,47,3.53,53,1.42,33,42,0
Johnny Case,178,70,183,Orthodox,"Jun 28, 1989",3.95,38,2.66,61,1.7,45,72,0.2
Kevin Casey,180,84,196,Southpaw,"Jun 15, 1981",2.27,53,3.76,46,0.79,22,27,0.4
Cortney Casey,170,57,170,Orthodox,"May 05, 1987",4.33,38,4.19,52,0.28,27,38,0.6
John Castaneda,168,61,180,Switch,"Dec 18, 1991",4.17,49,5.07,55,0.86,25,60,0
Danny Castillo,175,70,180,Orthodox,"Aug 25, 1979",2.57,42,1.96,62,2.95,38,63,0.2
Nick Catone,183,84,183,Southpaw,"Sep 01, 1981",2.11,44,2.32,63,3.71,44,83,0.5
Gesias Cavalcante,173,70,180,Orthodox,"Jul 06, 1983",1.98,35,3.11,51,1.25,36,66,1.1
Rafael Cavalcante,185,93,188,Orthodox,"Apr 14, 1980",2.71,53,3.62,49,0.6,40,63,0.1
Henry Cejudo,163,61,163,Orthodox,"Feb 09, 1987",3.92,45,2.77,65,2.12,33,93,0.2
Yosdenis Cedeno,173,70,175,Orthodox,"Feb 12, 1985",1.64,29,1.6,67,0,0,31,0.3
Magnus Cedenblad,196,84,201,Orthodox,"Apr 10, 1982",2.38,51,3.02,40,2.87,64,66,1
Luan Chagas,183,77,190,Orthodox,"Jun 17, 1993",4.16,47,3.19,62,0.32,12,85,0.3
Donald Cerrone,185,70,185,Orthodox,"Mar 29, 1983",4.43,46,4.46,53,1.19,33,73,1.2
